weather_type,tea_name,description
Rain,Earl Grey,Bold and citrusy for gray days
Rain,Chai,Spiced warmth when skies are wet
Rain,Darjeeling,Bright flavor on a dull day
Rain,Assam,Strong and malty to energize your rainy mood
Rain,Masala Chai,Robust spices for cozy comfort
Rain,Ginger Black,Spicy and awakening in drizzle
Rain,Lapsang Souchong,Smoky and deep for storms
Rain,Peppermint,Cleansing and cool after rain
Rain,Rosehip Hibiscus,Tart and vibrant in grayness
Rain,Vanilla Rooibos,Warm sweetness for stormy thoughts
